plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	salinity
Initial_000000001	12312000.0	3.85621159906146	8.598933646485218	1.4716452591750067	1.4716452591750067	1.4726452591750068	1.5176452591750067	0.3094109121027021	0.5156848535045035	0.9537254608112625	NaN
Initial_000000002	12312000.0	21.27185288111787	1.2930695209475718	1.435259612623896	1.435259612623896	1.436259612623896	1.481259612623896	0.2862113209329418	0.47701886822156975	0.7447377654265855	NaN
Initial_000000003	12312000.0	36.26937281241047	0.362379220499216	1.4441571919402396	1.4441571919402396	1.4451571919402397	1.4901571919402397	0.3388605157506447	0.6148850801308069	0.5647675262510745	NaN
Initial_000000005	12312000.0	29.190773659449714	1.5872888856366518	1.1776206901486739	1.1776206901486739	1.178620690148674	1.223620690148674	0.016190921853065043	0.026984869755108408	0.6497107160866035	NaN
Initial_000000006	12312000.0	28.90001836406905	2.125216495548401	1.4736995041701355	1.4736995041701355	1.4746995041701356	1.5196995041701356	0.34922193601811513	0.5820365600301919	0.6531997796311714	NaN
Initial_000000007	12312000.0	45.683095008214394	8.52435666577039	1.2916381507190682	1.2916381507190682	1.2926381507190683	1.3376381507190682	0.2710817159408564	0.5478969542095449	0.4518028599014273	NaN
Initial_000000009	12312000.0	21.984324917574394	0.4824472224839571	1.4311260496123317	1.4311260496123317	1.4321260496123316	1.4771260496123315	0.3511792594698937	0.5852987657831562	0.7361881009891073	NaN
Initial_000000011	12312000.0	38.41196069660732	6.215688235838598	1.4594524734299232	1.4594524734299232	1.4604524734299233	1.5054524734299233	0.3234338829844273	0.8018358632181031	0.5390564716407122	NaN
Initial_000000012	12312000.0	29.996749799732402	2.814513603994583	1.380998670543352	1.380998670543352	1.381998670543352	1.426998670543352	0.041592916604884664	0.06932152767480777	0.6400390024032112	NaN
Initial_000000013	12312000.0	21.069753614824887	4.468916533642534	1.4378460258752461	1.4378460258752461	1.438846025875246	1.483846025875246	0.1448122493620124	0.24135374893668732	0.7471629566221014	NaN
Initial_000000014	12312000.0	24.042792508951617	2.7005585714712788	1.4855146288916712	1.4855146288916712	1.486514628891671	1.5315146288916712	0.4268918939355483	0.8110632313434182	0.7114864898925806	NaN
Initial_000000015	12312000.0	11.05779583247406	3.0416985261189344	1.4967382298307381	1.4967382298307381	1.497738229830738	1.5427382298307382	0.48174582032457086	0.8029097005409515	0.8673064500103113	NaN
