plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	salinity
Initial_000000001	14256000.0	3.85621159906146	8.598933646485218	1.4716452591750067	1.4716452591750067	1.4726452591750068	1.5176452591750067	0.3094109121027021	0.5156848535045035	0.9537254608112625	NaN
Initial_000000002	14256000.0	21.27185288111787	1.2930695209475718	1.435259612623896	1.435259612623896	1.436259612623896	1.481259612623896	0.2862113209329418	0.47701886822156975	0.7447377654265855	NaN
Initial_000000003	14256000.0	36.26937281241047	0.362379220499216	1.4441571919402396	1.4441571919402396	1.4451571919402397	1.4901571919402397	0.2924646891017464	0.4874411485029107	0.5647675262510745	NaN
Initial_000000005	14256000.0	29.190773659449714	1.5872888856366518	1.189792886707408	1.189792886707408	1.190792886707408	1.235792886707408	0.016065970885875348	0.02677661814312558	0.6497107160866035	NaN
Initial_000000006	14256000.0	28.90001836406905	2.125216495548401	1.4736995041701355	1.4736995041701355	1.4746995041701356	1.5196995041701356	0.3278838931412386	0.5464731552353977	0.6531997796311714	NaN
Initial_000000007	14256000.0	45.683095008214394	8.52435666577039	1.4937347218199097	1.4937347218199097	1.4947347218199099	1.5397347218199098	0.2662228525216535	0.44370475420275585	0.4518028599014273	NaN
Initial_000000009	14256000.0	21.984324917574394	0.4824472224839571	1.4311260496123317	1.4311260496123317	1.4321260496123316	1.4771260496123315	0.3511792594698937	0.5852987657831562	0.7361881009891073	NaN
Initial_000000011	14256000.0	38.41196069660732	6.215688235838598	1.4594524734299232	1.4594524734299232	1.4604524734299233	1.5054524734299233	0.3234338829844273	0.6783989061034793	0.5390564716407122	NaN
Initial_000000012	14256000.0	29.996749799732402	2.814513603994583	1.38245847276276	1.38245847276276	1.3834584727627601	1.42845847276276	0.0021402229398895718	0.0035670382331492866	0.6400390024032112	NaN
Initial_000000013	14256000.0	21.069753614824887	4.468916533642534	1.4992298453231656	1.4992298453231656	1.5002298453231655	1.5452298453231654	0.37107485122155864	0.6184580853692644	0.7471629566221014	NaN
Initial_000000014	14256000.0	24.042792508951617	2.7005585714712788	1.4855146288916712	1.4855146288916712	1.486514628891671	1.5315146288916712	0.4268918939355483	0.8110632313434182	0.7114864898925806	NaN
Initial_000000015	14256000.0	11.05779583247406	3.0416985261189344	1.4967382298307381	1.4967382298307381	1.497738229830738	1.5427382298307382	0.4671902138587275	0.7786503564312125	0.8673064500103113	NaN
Initial_000000016	14256000.0	12.064970154771382	3.5771914789507733	1.3900585376406709	1.3900585376406709	1.3910585376406708	1.4360585376406712	0.03793400023380484	0.06322333372300806	0.8552203581427434	NaN
Initial_000000017	14256000.0	8.87496749230776	8.699862056580422	1.4782300092250065	1.4782300092250065	1.4792300092250066	1.5242300092250065	0.41856563084539594	0.6976093847423266	0.8935003900923069	NaN
Initial_000000021	14256000.0	20.836696239886642	9.838043365938933	1.4664213079866524	1.4664213079866524	1.4674213079866525	1.5124213079866524	0.2483914722393484	0.4139857870655807	0.7499596451213604	NaN
Initial_000000023	14256000.0	35.947077287644376	6.3866903059768285	1.4540194349980824	1.4540194349980824	1.4550194349980825	1.5000194349980824	0.3411810435289605	0.672961751431357	0.5686350725482675	NaN
Initial_000000024	14256000.0	16.128213368326143	4.222551766925138	1.479512252835308	1.479512252835308	1.4805122528353079	1.5255122528353078	0.36428805142113413	0.6071467523685569	0.8064614395800863	NaN
