plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	salinity
Initial_000000001	29808000.0	3.85621159906146	8.598933646485218	1.4716452591750067	1.4716452591750067	1.4726452591750068	1.5176452591750067	0.3094109121027021	0.5156848535045035	0.9537254608112625	NaN
Initial_000000002	29808000.0	21.27185288111787	1.2930695209475718	1.435259612623896	1.435259612623896	1.436259612623896	1.481259612623896	0.2687812404064893	0.44796873401081555	0.7447377654265855	NaN
Initial_000000003	29808000.0	36.26937281241047	0.362379220499216	1.4441571919402396	1.4441571919402396	1.4451571919402397	1.4901571919402397	0.23846162766426235	0.3974360461071039	0.5647675262510745	NaN
Initial_000000006	29808000.0	28.90001836406905	2.125216495548401	1.4736995041701355	1.4736995041701355	1.4746995041701356	1.5196995041701356	0.2234053077630523	0.3723421796050872	0.6531997796311714	NaN
Initial_000000007	29808000.0	45.683095008214394	8.52435666577039	1.4937347218199097	1.4937347218199097	1.4947347218199099	1.5397347218199098	0.2710817159408564	0.5636949041221069	0.4518028599014273	NaN
Initial_000000009	29808000.0	21.984324917574394	0.4824472224839571	1.4311260496123317	1.4311260496123317	1.4321260496123316	1.4771260496123315	0.297544143621937	0.4959069060365617	0.7361881009891073	NaN
Initial_000000011	29808000.0	38.41196069660732	6.215688235838598	1.4594524734299232	1.4594524734299232	1.4604524734299233	1.5054524734299233	0.3234338829844273	0.5409445318249915	0.5390564716407122	NaN
Initial_000000012	29808000.0	29.996749799732402	2.814513603994583	1.4689407713549387	1.4689407713549387	1.4699407713549388	1.5149407713549388	0.1832844672117544	0.3054741120195907	0.6400390024032112	NaN
Initial_000000013	29808000.0	21.069753614824887	4.468916533642534	1.4992298453231656	1.4992298453231656	1.5002298453231655	1.5452298453231654	0.35785419181709716	0.5964236530284953	0.7471629566221014	NaN
Initial_000000014	29808000.0	24.042792508951617	2.7005585714712788	1.4855146288916712	1.4855146288916712	1.486514628891671	1.5315146288916712	0.3831246055929178	0.6385410093215297	0.7114864898925806	NaN
